Epoch: 92, Val Loss: 0.8042367696762085, Accuracy: 0.782
Epoch: 93, Val Loss: 0.8072692155838013, Accuracy: 0.782
Epoch: 94, Val Loss: 0.8091145157814026, Accuracy: 0.782
Epoch: 95, Val Loss: 0.8075928688049316, Accuracy: 0.784
Epoch: 96, Val Loss: 0.8053765892982483, Accuracy: 0.788
Epoch: 97, Val Loss: 0.8019105195999146, Accuracy: 0.792
Epoch: 98, Val Loss: 0.7988099455833435, Accuracy: 0.796
Epoch: 99, Val Loss: 0.7950211763381958, Accuracy: 0.794
Epoch: 100, Val Loss: 0.7918946146965027, Accuracy: 0.798
Epoch: 101, Val Loss: 0.7888404726982117, Accuracy: 0.794
Epoch: 102, Val Loss: 0.7870305180549622, Accuracy: 0.794
Epoch: 103, Val Loss: 0.7848488092422485, Accuracy: 0.798
